text,label_india_relevance,label_sector,label_attack_type
"In 2019 in China, a Phishing attack targeted Education by Hacker Group via Unpatched Software causing $80.53M loss affecting 773169 users (resolved in 63 hours)",0,Other,Phishing
"In 2019 in China, a Ransomware attack targeted Retail by Hacker Group via Unpatched Software causing $62.19M loss affecting 295961 users (resolved in 71 hours)",0,Other,Ransomware
"In 2017 in India, a Man-in-the-Middle attack targeted IT by Hacker Group via Weak Passwords causing $38.65M loss affecting 605895 users (resolved in 20 hours)",1,Other,Exploit
"In 2024 in UK, a Ransomware attack targeted Telecommunications by Nation-state via Social Engineering causing $41.44M loss affecting 659320 users (resolved in 7 hours)",0,Telecom,Ransomware
"In 2018 in Germany, a Man-in-the-Middle attack targeted IT by Insider via Social Engineering causing $74.41M loss affecting 810682 users (resolved in 68 hours)",0,Other,Exploit
"In 2017 in Germany, a Man-in-the-Middle attack targeted Retail by Unknown via Social Engineering causing $98.24M loss affecting 285201 users (resolved in 25 hours)",0,Other,Exploit
"In 2016 in Germany, a DDoS attack targeted Telecommunications by Insider via Unpatched Software causing $33.26M loss affecting 431262 users (resolved in 34 hours)",0,Telecom,Other
"In 2018 in France, a SQL Injection attack targeted Government by Unknown via Social Engineering causing $59.23M loss affecting 909991 users (resolved in 66 hours)",0,Govt,Other
"In 2016 in India, a Man-in-the-Middle attack targeted Banking by Unknown via Social Engineering causing $16.88M loss affecting 698249 users (resolved in 47 hours)",1,BFSI,Exploit
"In 2023 in UK, a DDoS attack targeted Healthcare by Hacker Group via Unpatched Software causing $69.14M loss affecting 685927 users (resolved in 58 hours)",0,Other,Other
"In 2019 in China, a Phishing attack targeted Telecommunications by Unknown via Zero-day causing $88.67M loss affecting 493675 users (resolved in 29 hours)",0,Telecom,Phishing
"In 2016 in China, a SQL Injection attack targeted Healthcare by Hacker Group via Unpatched Software causing $38.81M loss affecting 920768 users (resolved in 27 hours)",0,Other,Other
"In 2019 in India, a Ransomware attack targeted Education by Insider via Zero-day causing $30.56M loss affecting 583204 users (resolved in 37 hours)",1,Other,Ransomware
"In 2023 in France, a DDoS attack targeted Healthcare by Nation-state via Unpatched Software causing $58.37M loss affecting 599797 users (resolved in 35 hours)",0,Other,Other
"In 2024 in France, a DDoS attack targeted IT by Unknown via Social Engineering causing $48.01M loss affecting 922258 users (resolved in 64 hours)",0,Other,Other
"In 2022 in Australia, a Phishing attack targeted Banking by Nation-state via Zero-day causing $64.31M loss affecting 120789 users (resolved in 36 hours)",0,BFSI,Phishing
