text,label_attack_possible,label_attack_type
Credentials were dumped online after a breach in UIDAI.,1,Data Leak
A data leak exposed customer records of a Education provider in NCIIPC.,1,Data Leak
A misconfigured S3 bucket in gov.in revealed sensitive documents.,1,Data Leak
Smishing messages in Chennai lured telecom subscribers to fake KYC pages.,1,Phishing
Press release announced new partnerships in the telecom industry. This update was relevant for teams in Aadhaar.,0,Other
Privilege escalation via zero-day was observed in UPI corporate endpoints.,1,Exploit
Unpatched servers in gov.in were exploited with public PoCs.,1,Exploit
A vendor onboarding communication was shared with employees.,0,Other
Credential-harvesting emails impersonated a bank in NIC to steal login details.,1,Phishing
Privilege escalation via zero-day was observed in Chennai corporate endpoints.,1,Exploit
"Hospital systems in Mumbai were locked by ransomware, disrupting operations.",1,Ransomware
"Hospital systems in RBI were locked by ransomware, disrupting operations.",1,Ransomware
Attackers exploited a CVE affecting internet-facing systems in CERT-In for RCE.,1,Exploit
A trojanized installer spread via email attachments in Pune.,1,Malware
Regular software update improved system performance across the organization.,0,Other
A vendor onboarding communication was shared with employees.,0,Other
Press release announced new partnerships in the telecom industry.,0,Other
A vendor onboarding communication was shared with employees.,0,Other
Press release announced new partnerships in the telecom industry. This update was relevant for teams in Aadhaar.,0,Other
A DDoS attack disrupted online services of a major Healthcare portal in India.,1,DDoS
Press release announced new partnerships in the telecom industry.,0,Other
Credentials were dumped online after a breach in Chennai.,1,Data Leak
Internal audit completed with recommendations for process optimization. This update was relevant for teams in Aadhaar.,0,Other
Regular software update improved system performance across the organization.,0,Other
Press release announced new partnerships in the telecom industry.,0,Other
The company released financial results and announced a new product roadmap. This update was relevant for teams in Aadhaar.,0,Other
Scheduled maintenance was completed with no security incident reported. This update was relevant for teams in UIDAI.,0,Other
The company released financial results and announced a new product roadmap. This update was relevant for teams in Indian.,0,Other
"Double-extortion ransomware hit a data center in NCIIPC, exfiltrating files from Education.",1,Ransomware
A trojanized installer spread via email attachments in RBI.,1,Malware
Internal audit completed with recommendations for process optimization. This update was relevant for teams in gov.in.,0,Other
Attackers exploited a CVE affecting internet-facing systems in Chennai for RCE.,1,Exploit
Press release announced new partnerships in the telecom industry.,0,Other
"Malware infected endpoints in a BFSI firm in UPI, dropping an infostealer.",1,Malware
A phishing campaign targeting BFSI users in India asked for OTP and credentials.,1,Phishing
"Traffic floods targeted an ISP backbone in CERT-In, causing intermittent outages.",1,DDoS
A phishing campaign targeting Healthcare users in NCIIPC asked for OTP and credentials.,1,Phishing
Scheduled maintenance was completed with no security incident reported. This update was relevant for teams in Indian.,0,Other
Attackers exploited a CVE affecting internet-facing systems in NIC for RCE.,1,Exploit
Unpatched servers in Mumbai were exploited with public PoCs.,1,Exploit
Press release announced new partnerships in the telecom industry.,0,Other
Regular software update improved system performance across the organization.,0,Other
A misconfigured S3 bucket in NIC revealed sensitive documents.,1,Data Leak
"Traffic floods targeted an ISP backbone in Mumbai, causing intermittent outages.",1,DDoS
Smishing messages in Delhi lured telecom subscribers to fake KYC pages.,1,Phishing
Unpatched servers in UPI were exploited with public PoCs.,1,Exploit
A phishing campaign targeting Education users in UPI asked for OTP and credentials.,1,Phishing
The company released financial results and announced a new product roadmap. This update was relevant for teams in India.,0,Other
A phishing campaign targeting BFSI users in UPI asked for OTP and credentials.,1,Phishing
"A worm propagated across internal networks in Chennai, impacting operations.",1,Malware
"A worm propagated across internal networks in Pune, impacting operations.",1,Malware
Press release announced new partnerships in the telecom industry. This update was relevant for teams in India.,0,Other
The company released financial results and announced a new product roadmap.,0,Other
"A worm propagated across internal networks in Indian, impacting operations.",1,Malware
A vendor onboarding communication was shared with employees.,0,Other
"Double-extortion ransomware hit a data center in Mumbai, exfiltrating files from Telecom.",1,Ransomware
Payment APIs in NIC suffered volumetric denial-of-service incidents.,1,DDoS
"A worm propagated across internal networks in Hyderabad, impacting operations.",1,Malware
A misconfigured S3 bucket in CERT-In revealed sensitive documents.,1,Data Leak
"Traffic floods targeted an ISP backbone in India, causing intermittent outages.",1,DDoS
The company released financial results and announced a new product roadmap. This update was relevant for teams in NIC.,0,Other
Regular software update improved system performance across the organization. This update was relevant for teams in Aadhaar.,0,Other
Press release announced new partnerships in the telecom industry. This update was relevant for teams in UPI.,0,Other
The company released financial results and announced a new product roadmap. This update was relevant for teams in CERT-In.,0,Other
Press release announced new partnerships in the telecom industry.,0,Other
Internal audit completed with recommendations for process optimization. This update was relevant for teams in CERT-In.,0,Other
Payment APIs in RBI suffered volumetric denial-of-service incidents.,1,DDoS
Press release announced new partnerships in the telecom industry.,0,Other
Regular software update improved system performance across the organization.,0,Other
"Traffic floods targeted an ISP backbone in gov.in, causing intermittent outages.",1,DDoS
Press release announced new partnerships in the telecom industry.,0,Other
Credentials were dumped online after a breach in India.,1,Data Leak
Press release announced new partnerships in the telecom industry. This update was relevant for teams in NIC.,0,Other
Scheduled maintenance was completed with no security incident reported.,0,Other
Attackers exploited a CVE affecting internet-facing systems in Indian for RCE.,1,Exploit
Internal audit completed with recommendations for process optimization.,0,Other
Credential-harvesting emails impersonated a bank in UIDAI to steal login details.,1,Phishing
"Malware infected endpoints in a Telecom firm in NCIIPC, dropping an infostealer.",1,Malware
Credentials were dumped online after a breach in Hyderabad.,1,Data Leak
